name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_date
gj 667 c c,22,3.8 Earths,10.22,2011
gj 667 c c,22,3.8 Earths,10.22,2011
gj 667 c e,22,2.7 Earths,10.22,2013
gj 667 c e,22,2.7 Earths,10.22,2013
gj 667 c f,22,2.7 Earths,10.22,2013
gj 667 c f,22,2.7 Earths,10.22,2013
gj 667 c g,22,4.6 Earths,10.22,2013
gj 667 c g,22,4.6 Earths,10.22,2013
gj 832 b,16,0.68 Jupiters,8.66,2008
gj 832 b,16,0.68 Jupiters,8.66,2008
gj 832 c,16,5.4 Earths,8.66,2014
gj 832 c,16,5.4 Earths,8.66,2014
gj 849 b,29,1 Jupiter,10.37,2006
gj 849 b,29,1 Jupiter,10.37,2006
gj 86 b,35,4.42 Jupiters,6.12,1999
gj 86 b,35,4.42 Jupiters,6.12,1999
gj 876 b,15,2.2756 Jupiters,10.191,1998
gj 876 b,15,2.2756 Jupiters,10.191,1998
gj 876 c,15,0.7142 Jupiters,10.191,2000
gj 876 c,15,0.7142 Jupiters,10.191,2000
gj 876 d,15,6.83 Earths,10.191,2005
gj 876 d,15,6.83 Earths,10.191,2005
gj 876 e,15,14.6 Earths,10.191,2010
gj 876 e,15,14.6 Earths,10.191,2010
gj 887 b,11,4.2 Earths,7.335,2020
gj 887 b,11,4.2 Earths,7.335,2020
gj 887 c,11,7.6 Earths,7.335,2020
gj 887 c,11,7.6 Earths,7.335,2020
gsc 06214-00210 b,473,16 Jupiters,12.375,2010
gsc 06214-00210 b,473,16 Jupiters,12.375,2010
gu piscium b,157,11.3 Jupiters,13.55,2014
gu piscium b,157,11.3 Jupiters,13.55,2014
hat-p-11 b,123,26.69772 Earths,9.151,2008
hat-p-11 b,123,26.69772 Earths,9.151,2008
hat-p-11 c,123,2.3 Jupiters,9.151,2018
hat-p-11 c,123,2.3 Jupiters,9.151,2018
hat-p-12 b,465,0.211 Jupiters,12.84,2009
hat-p-12 b,465,0.211 Jupiters,12.84,2009
hat-p-13 b,698,0.851 Jupiters,10.622,2009
hat-p-13 b,698,0.851 Jupiters,10.622,2009
hat-p-13 c,698,14.28 Jupiters,10.622,2009
hat-p-13 c,698,14.28 Jupiters,10.622,2009
hat-p-14 b,731,3.44 Jupiters,9.98,2010
hat-p-14 b,731,3.44 Jupiters,9.98,2010
hat-p-15 b,631,1.94 Jupiters,12.16,2010
hat-p-15 b,631,1.94 Jupiters,12.16,2010
hat-p-16 b,767,4.193 Jupiters,10.812,2010
hat-p-16 b,767,4.193 Jupiters,10.812,2010
hat-p-2 b,418,8.7 Jupiters,8.72,2007
hat-p-2 b,418,8.7 Jupiters,8.72,2007
hat-p-25 b,988,0.569 Jupiters,13.19,2010
hat-p-25 b,988,0.569 Jupiters,13.19,2010
hat-p-26 b,465,22.2481 Earths,11.744,2010
hat-p-26 b,465,22.2481 Earths,11.744,2010
hat-p-27 b,665,0.62 Jupiters,11.956,2011
hat-p-27 b,665,0.62 Jupiters,11.956,2011
hat-p-28 b,1288,0.626 Jupiters,13.03,2011
hat-p-28 b,1288,0.626 Jupiters,13.03,2011
hat-p-29 b,1032,0.88 Jupiters,11.9,2011
hat-p-29 b,1032,0.88 Jupiters,11.9,2011
hat-p-30 b,702,0.83 Jupiters,10.419,2011
hat-p-30 b,702,0.83 Jupiters,10.419,2011
hat-p-31 b,1133,2.27 Jupiters,11.66,2011
hat-p-31 b,1133,2.27 Jupiters,11.66,2011
hat-p-32 b,951,0.68 Jupiters,11.289,2011
hat-p-32 b,951,0.68 Jupiters,11.289,2011
hat-p-33 b,1307,0.92 Jupiters,11.188,2011
hat-p-33 b,1307,0.92 Jupiters,11.188,2011
hat-p-4 b,1024,0.671 Jupiters,11.118,2007
hat-p-4 b,1024,0.671 Jupiters,11.118,2007
hat-p-4 b,1024,0.671 Jupiters,11.118,2007
hat-p-43 b,1768,0.662 Jupiters,13.356,2012
hat-p-43 b,1768,0.662 Jupiters,13.356,2012
hat-p-43 b,1768,0.662 Jupiters,13.356,2012
hat-p-44 b,1184,0.352 Jupiters,12.973,2014
hat-p-44 b,1184,0.352 Jupiters,12.973,2014
hat-p-44 b,1184,0.352 Jupiters,12.973,2014
hat-p-44 c,1184,4 Jupiters,12.973,2014
hat-p-44 c,1184,4 Jupiters,12.973,2014
hat-p-44 c,1184,4 Jupiters,12.973,2014
hat-p-45 b,995,0.892 Jupiters,12.398,2014
hat-p-45 b,995,0.892 Jupiters,12.398,2014
hat-p-45 b,995,0.892 Jupiters,12.398,2014
hat-p-46 b,966,0.493 Jupiters,11.684,2014
hat-p-46 b,966,0.493 Jupiters,11.684,2014
hat-p-46 b,966,0.493 Jupiters,11.684,2014
hat-p-49 b,1154,2.2 Jupiters,10.326,2014
hat-p-49 b,1154,2.2 Jupiters,10.326,2014
hat-p-49 b,1154,2.2 Jupiters,10.326,2014
hat-p-50 b,1621,1.35 Jupiters,11.762,2015
hat-p-50 b,1621,1.35 Jupiters,11.762,2015
hat-p-50 b,1621,1.35 Jupiters,11.762,2015
hat-p-51 b,1533,0.309 Jupiters,13.44,2015
hat-p-51 b,1533,0.309 Jupiters,13.44,2015
hat-p-51 b,1533,0.309 Jupiters,13.44,2015
hat-p-52 b,1256,0.818 Jupiters,14.068,2015
hat-p-52 b,1256,0.818 Jupiters,14.068,2015
hat-p-52 b,1256,0.818 Jupiters,14.068,2015
hats-1 b,988,1.855 Jupiters,12.053,2012
hats-15 b,2248,2.17 Jupiters,14.774,2016
hats-16 b,2525,3.27 Jupiters,13.834,2016
hats-17 b,1106,1.338 Jupiters,12.39,2016
hats-18 b,2104,1.9795 Jupiters,14.067,2016
hats-2 b,1174,1.345 Jupiters,13.562,2013
hats-22 b,678,2.74 Jupiters,13.455,2017
hats-23 b,2437,1.47 Jupiters,13.901,2017
hats-24 b,1664,2.26 Jupiters,12.83,2017
hats-25 b,1520,0.613 Jupiters,13.097,2016
hats-26 b,2959,0.65 Jupiters,12.955,2016
hats-27 b,2740,0.53 Jupiters,12.766,2016
hats-28 b,1700,0.672 Jupiters,13.934,2016
hats-29 b,1145,0.653 Jupiters,12.612,2016
hats-3 b,1478,1.071 Jupiters,12.44,2013
hats-30 b,1106,0.706 Jupiters,12.192,2016
hats-31 b,2844,0.88 Jupiters,13.105,2016
hats-32 b,2737,0.92 Jupiters,14.384,2016
hats-33 b,832,1.192 Jupiters,11.911,2016
hats-34 b,1735,0.941 Jupiters,13.849,2016
hats-35 b,1817,1.222 Jupiters,12.56,2016
hats-36 b,2866,3.216 Jupiters,14.386,2018
hats-37 a b,689,31.46517 Earths,12.266,2020
hats-38 b,1134,23.51942 Earths,12.411,2020
hats-39 b,2522,0.63 Jupiters,12.746,2018
hats-4 b,1370,1.323 Jupiters,13.459,2014
hats-40 b,4668,1.59 Jupiters,13.377,2018
hats-41 b,2610,9.7 Jupiters,12.681,2018
hats-42 b,3073,1.88 Jupiters,13.617,2018
hats-43 b,1112,0.261 Jupiters,13.593,2018
hats-44 b,1510,0.56 Jupiters,14.428,2018
hats-45 b,2668,0.7 Jupiters,13.307,2018
hats-46 b,1461,0.173 Jupiters,13.634,2018
hats-47 b,984,0.369 Jupiters,14.829,2020
hats-48 a b,866,0.243 Jupiters,14.35,2020
hats-49 b,1059,0.353 Jupiters,14.998,2020
hats-5 b,838,0.237 Jupiters,12.63,2014
hats-50 b,2339,0.39 Jupiters,14.033,2017
hats-51 b,1559,0.768 Jupiters,12.471,2017
hats-52 b,2058,2.24 Jupiters,13.669,2017
hats-53 b,2000,0.595 Jupiters,13.79,2017
hats-54 b,2508,0.76 Jupiters,13.913,2019
hats-55 b,2034,0.921 Jupiters,13.47,2019
hats-56 b,1883,0.602 Jupiters,11.578,2019
hats-57 b,913,3.147 Jupiters,12.344,2019
hats-58 a b,1605,1.03 Jupiters,11.552,2019
hats-59 b,2136,0.806 Jupiters,13.951,2018
hats-59 c,2136,12.7 Jupiters,13.951,2018
hats-6 b,484,0.319 Jupiters,15.16,2015
hats-60 b,1612,0.662 Jupiters,12.641,2018
hats-61 b,2264,3.4 Jupiters,13.233,2018
hats-62 b,1686,0.179 Jupiters,14.015,2018
hats-63 b,2071,0.96 Jupiters,13.892,2018
hats-64 b,3533,0.96 Jupiters,12.924,2018
hats-65 b,1615,0.821 Jupiters,12.497,2018
hats-66 b,5017,5.33 Jupiters,14.095,2018
hats-67 b,3203,1.45 Jupiters,13.653,2018
hats-68 b,2017,1.29 Jupiters,12.276,2018
hats-69 b,1371,0.577 Jupiters,13.945,2018
hats-7 b,838,38.1396 Earths,13.34,2015
hats-70 b,4263,12.9 Jupiters,12.574,2019
hats-71 b,460,0.37 Jupiters,15.351,2020
hats-72 b,416,39.85588 Earths,12.469,2020
hats-8 b,2704,0.138 Jupiters,14.03,2015
hats-9 b,2135,0.837 Jupiters,13.276,2015
hd 100546 b,359,752 Jupiters,6.704,2014
hd 100655 b,449,1.61 Jupiters,6.45,2011
hd 100777 b,162,1.03 Jupiters,8.418,2007
hd 10180 c,127,13.22173 Earths,7.321,2010
hd 10180 d,127,12.01397 Earths,7.321,2010
hd 10180 e,127,25.58532 Earths,7.321,2010
hd 10180 f,127,22.94733 Earths,7.321,2010
hd 10180 g,127,23.26516 Earths,7.321,2010
hd 10180 h,127,0.2066 Jupiters,7.321,2010
hd 101930 b,98,0.25 Jupiters,8.21,2005
hd 102117 b,129,0.17 Jupiters,7.47,2005
hd 102195 b,96,0.41 Jupiters,8.062,2006
hd 102272 b,1142,4.94 Jupiters,8.69,2008
hd 102329 b,712,8.16 Jupiters,8.04,2011
hd 102329 c,712,1.52 Jupiters,8.04,2018
hd 102365 b,30,16 Earths,4.91,2010
hd 102843 b,205,0.35837 Jupiters,9.268,2019
hd 102956 b,399,0.96 Jupiters,7.86,2010
hd 103197 b,187,28.6047 Earths,9.391,2009
hd 103720 b,136,0.62 Jupiters,9.49,2014
hd 103774 b,184,0.367 Jupiters,7.121,2013
hd 103949 b,87,11.2 Earths,8.69,2019
hd 104067 b,66,0.16 Jupiters,7.93,2009
hd 10442 b,443,1.487 Jupiters,7.84,2014
hd 104985 b,329,8.3 Jupiters,5.8,2003
hd 106252 b,125,6.93 Jupiters,7.408,2002
hd 106270 b,307,10.13 Jupiters,7.58,2011
hd 106315 b,356,12.6 Earths,8.951,2017
hd 106315 c,356,15.2 Earths,8.951,2017
hd 10647 b,57,0.94 Jupiters,5.52,2006
hd 106515 a b,111,9.61 Jupiters,7.972,2012
hd 106906 b,337,11 Jupiters,7.797,2013
hd 10697 b,108,6.383 Jupiters,6.27,1999
hd 107148 b,161,0.21 Jupiters,8.015,2005
hd 108147 b,127,0.261 Jupiters,6.995,2002
hd 108341 b,161,3.5 Jupiters,9.36,2014
hd 108863 b,540,2.414 Jupiters,7.71,2011
hd 108874 b,194,1.42 Jupiters,8.738,2002
hd 108874 c,194,0.99 Jupiters,8.738,2005
hd 109246 b,222,0.86 Jupiters,8.77,2010
hd 109271 b,183,17.162 Earths,8.055,2013
hd 109271 c,183,24.154 Earths,8.055,2013
hd 109749 b,206,0.27 Jupiters,8.08,2005
hd 110014 b,329,11.09 Jupiters,4.66,2009
hd 111232 b,95,7.14 Jupiters,7.59,2003
hd 111591 b,374,4.4 Jupiters,6.427,2017
hd 111998 b,108,4.51 Jupiters,6.11,2016
hd 113337 b,118,2.83 Jupiters,6.008,2013
hd 113538 b,52,0.36 Jupiters,9.057,2010
hd 113538 c,52,0.93 Jupiters,9.057,2010
hd 113996 b,380,6.3 Jupiters,4.82,2017
hd 114386 b,91,1.14 Jupiters,8.73,2003
hd 114613 b,66,0.357 Jupiters,4.85,2014
hd 114729 b,123,0.825 Jupiters,6.687,2002
hd 114762 b,131,10.69 Jupiters,7.301,1989
hd 114783 b,67,1.1 Jupiters,7.55,2001
hd 114783 c,67,0.611 Jupiters,7.55,2018
hd 11506 b,167,4.83 Jupiters,7.51,2007
hd 11506 c,167,0.408 Jupiters,7.51,2008
hd 116029 b,403,1.4 Jupiters,8.04,2011
hd 116029 c,403,1.27 Jupiters,8.04,2018
hd 117207 b,106,1.926 Jupiters,7.24,2004
hd 11755 b,772,5.63 Jupiters,6.87,2015
hd 117618 b,123,0.174 Jupiters,7.169,2004
hd 118203 b,302,2.79 Jupiters,8.05,2005
hd 11964 b,110,0.622 Jupiters,6.42,2005
hd 11964 c,110,25 Earths,6.42,2008
hd 11977 b,222,6.54 Jupiters,4.69,2005
hd 120084 b,337,4.5 Jupiters,5.899,2013
hd 121504 b,136,1.51 Jupiters,7.517,2003
hd 12484 b,167,2.98 Jupiters,8.17,2016
hd 125390 b,503,22.16 Jupiters,8.206,2019
hd 125595 b,92,6.3566 Earths,9.03,2009
hd 125612 b,188,3.1 Jupiters,8.31,2007
hd 125612 c,188,17.48065 Earths,8.31,2009
hd 125612 d,188,7.28 Jupiters,8.31,2009
hd 12648 b,597,1.96 Jupiters,6.98,2015
hd 126525 b,123,0.237 Jupiters,7.847,2018
hd 12661 b,124,2.43 Jupiters,7.425,2000
hd 12661 c,124,1.812 Jupiters,7.425,2002
hd 126614 b,239,0.41 Jupiters,8.788,2009
hd 128311 b,54,1.769 Jupiters,7.51,2002
hd 128311 c,54,3.789 Jupiters,7.51,2005
hd 128356 b,85,0.89 Jupiters,8.29,2016
hd 129445 b,220,1.6 Jupiters,8.8,2009
hd 130322 b,104,1.15 Jupiters,8.031,1999
hd 131496 b,432,1.8 Jupiters,7.8,2011
hd 131664 b,173,19.12 Jupiters,8.128,2008
hd 13167 b,488,3.31 Jupiters,8.34,2018
hd 13189 b,1646,10.95 Jupiters,7.556,2005
hd 132406 b,231,5.38 Jupiters,8.467,2007
hd 132563 b,344,1.49 Jupiters,8.928,2011
hd 133131 a b,153,1.42 Jupiters,8.4,2016
hd 133131 a c,153,0.42 Jupiters,8.4,2016
hd 133131 b b,153,2.5 Jupiters,8.42,2016
hd 134060 b,79,10.1 Earths,6.29,2019
hd 134060 c,79,29.29 Earths,6.29,2019
hd 134987 b,85,1.61 Jupiters,6.45,1999
hd 134987 c,85,0.82 Jupiters,6.45,2009
hd 136352 b,48,4.81 Earths,5.65,2019
hd 136352 c,48,10.8 Earths,5.65,2019
hd 136352 d,48,8.58 Earths,5.65,2019
hd 136418 b,344,2.14 Jupiters,7.879,2009
hd 13724 b,142,26.77 Jupiters,7.89,2019
hd 137388 b,132,0.2 Jupiters,8.696,2011
hd 13908 b,260,0.865 Jupiters,7.508,2013
hd 13908 c,260,5.13 Jupiters,7.508,2013
hd 13931 b,155,2.2 Jupiters,7.597,2009
hd 139357 b,367,9.76 Jupiters,5.964,2008
hd 1397 b,260,0.415 Jupiters,7.781,2018
hd 14067 b,465,7.8 Jupiters,6.53,2014
hd 141399 b,118,0.451 Jupiters,7.2,2014
hd 141399 c,118,1.33 Jupiters,7.2,2014
hd 141399 d,118,1.18 Jupiters,7.2,2014
hd 141399 e,118,0.66 Jupiters,7.2,2014
hd 141937 b,109,9.69 Jupiters,7.25,2002
hd 142 b,85,1.25 Jupiters,5.7,2001
hd 142 c,85,5.3 Jupiters,5.7,2012
hd 142022 a b,112,4.44 Jupiters,7.7,2005
hd 142245 b,318,3.07 Jupiters,7.63,2011
hd 142415 b,116,1.67 Jupiters,7.327,2003
hd 143105 b,159,1.21 Jupiters,6.75,2016
hd 143361 b,224,3.532 Jupiters,9.2,2008
hd 145377 b,175,6.02 Jupiters,8.095,2008
hd 145457 b,443,2.23 Jupiters,6.566,2010
